Trade Date,Instrument,Symbol,Expiry Date,Open Price,High Price,Low Price,Close Price,Daily Settlement Price,Open Interest(OI),No. of Contracts,Turnover ( Rs.)
03-Jan-20,FUTENR,BRCRUDE,31-01-2020,4891,4891,4890,4890,4970,5,2,0.1
02-Jan-20,FUTENR,BRCRUDE,31-01-2020,4738,4738,4734,4736,4760,3,9,0.43
31-Dec-19,FUTENR,BRCRUDE,31-01-2020,4751,4764,4751,4764,4898,2,2,0.1
30-Dec-19,FUTENR,BRCRUDE,30-12-2019,4867,4910,4867,4910,4874,2,7,0.34
27-Dec-19,FUTENR,BRCRUDE,30-12-2019,4856,4863,4856,4863,4856,3,9,0.44
26-Dec-19,FUTENR,BRCRUDE,30-12-2019,4802,4802,4802,4802,4719,3,1,0.05
24-Dec-19,FUTENR,BRCRUDE,30-12-2019,4731,4731,4728,4728,4721,4,4,0.19
23-Dec-19,FUTENR,BRCRUDE,30-12-2019,4683,4712,4681,4710,4718,4,6,0.28
20-Dec-19,FUTENR,BRCRUDE,30-12-2019,4731,4736,4710,4720,4736,5,11,0.52
19-Dec-19,FUTENR,BRCRUDE,30-12-2019,4690,4707,4690,4706,4723,5,11,0.52
18-Dec-19,FUTENR,BRCRUDE,30-12-2019,4677,4677,4664,4673,4694,5,8,0.37
17-Dec-19,FUTENR,BRCRUDE,30-12-2019,4632,4636,4632,4636,4668,4,2,0.09
16-Dec-19,FUTENR,BRCRUDE,30-12-2019,4637,4637,4637,4637,4655,4,1,0.05
13-Dec-19,FUTENR,BRCRUDE,30-12-2019,4562,4614,4562,4576,4618,5,8,0.37
12-Dec-19,FUTENR,BRCRUDE,30-12-2019,4517,4517,4517,4517,4566,1,1,0.05
10-Dec-19,FUTENR,BRCRUDE,30-12-2019,4530,4530,4530,4530,4564,2,1,0.05
09-Dec-19,FUTENR,BRCRUDE,30-12-2019,4562,4565,4552,4565,4559,1,8,0.36
06-Dec-19,FUTENR,BRCRUDE,30-12-2019,4501,4583,4500,4583,4541,1,12,0.54
05-Dec-19,FUTENR,BRCRUDE,30-12-2019,4533,4533,4533,4533,4561,3,1,0.05
03-Dec-19,FUTENR,BRCRUDE,30-12-2019,4380,4380,4380,4380,4382,4,1,0.04
02-Dec-19,FUTENR,BRCRUDE,30-12-2019,4446,4450,4379,4379,4469,3,4,0.18
