,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
167,TCS,EQ,11-Nov-2019,2129.95,2135.0,2139.0,2091.0,2100.9,2100.95,2105.79,2983768,6283193792.1,159080,1728479,57.93
81,TCS,EQ,03-Jul-2019,2252.1,2252.2,2258.8,2232.0,2234.0,2237.65,2242.16,1656881,3714996570.45,87941,739089,44.61
47,TCS,EQ,15-May-2019,2092.35,2097.0,2124.0,2084.5,2095.0,2095.4,2103.66,2346876,4937022681.65,119315,1108059,47.21
106,TCS,EQ,07-Aug-2019,2214.9,2230.0,2238.5,2207.25,2218.9,2213.45,2223.14,2165362,4813906242.55,141079,1149124,53.07
4,TCS,EQ,11-Mar-2019,2022.7,2028.9,2033.0,2003.65,2016.15,2014.8,2017.1,3111689,6276593842.1,104833,2195339,70.55
140,TCS,EQ,30-Sep-2019,2056.15,2061.85,2104.0,2060.0,2097.0,2099.3,2090.07,2620039,5476076783.1,124092,1414661,53.99
139,TCS,EQ,27-Sep-2019,2087.6,2085.0,2085.2,2051.4,2059.0,2056.15,2065.56,2046795,4227783647.6,125241,1044628,51.04
10,TCS,EQ,19-Mar-2019,2022.8,2030.0,2030.0,1995.1,2028.5,2022.8,2010.71,2373993,4773416985.45,135360,1176359,49.55
61,TCS,EQ,04-Jun-2019,2242.3,2224.0,2224.0,2175.0,2188.0,2183.1,2195.01,2408658,5287022188.05,98393,973876,40.43
60,TCS,EQ,03-Jun-2019,2196.55,2201.0,2247.65,2185.65,2240.1,2242.3,2223.68,3682419,8188536868.55,138425,1964140,53.34
202,TCS,EQ,01-Jan-2020,2161.7,2168.0,2183.9,2154.0,2170.0,2167.6,2170.54,1354908,2940882381.95,44438,164490,12.14
132,TCS,EQ,18-Sep-2019,2122.65,2126.4,2142.95,2113.15,2141.15,2138.55,2133.02,1454663,3102820740.35,94064,674870,46.39
2,TCS,EQ,07-Mar-2019,1999.6,2005.0,2024.05,2000.2,2015.0,2013.3,2014.4,2539884,5116330320.4,126121,1392383,54.82
25,TCS,EQ,09-Apr-2019,2070.75,2070.0,2098.0,2057.65,2087.45,2091.5,2085.63,2690970,5612369594.4,122603,1036682,38.52
41,TCS,EQ,07-May-2019,2157.85,2160.05,2184.35,2138.8,2154.0,2151.95,2163.53,2201698,4763441089.75,86096,975603,44.31
241,TCS,EQ,25-Feb-2020,2115.35,2115.5,2176.65,2111.0,2163.0,2156.15,2148.89,2674567,5747361446.9,116295,1382198,51.68
174,TCS,EQ,21-Nov-2019,2108.55,2112.0,2126.6,2107.4,2117.4,2118.1,2120.22,2052574,4351898935.6,90452,1219100,59.39
16,TCS,EQ,27-Mar-2019,1982.65,1994.0,1998.0,1961.0,1964.85,1967.9,1979.12,2266166,4485003551.4,110306,1163070,51.32
20,TCS,EQ,02-Apr-2019,2031.65,2037.1,2086.0,2037.0,2079.0,2079.3,2064.13,3719663,7677855817.15,124157,1757245,47.24
